1,1,2
2,1,1
2,.5,3
3,2,2,
3,1,4
4,1,3
4,.25,5
5,4,4
5,.333,6
6,3,5
6,.5,7
7,2,6
7,.25,8
8,4,7
8,.5,9
9,2,8
9,.5,10
10,2,9
10,1,11
11,1,10
11,.5,12
12,2,11
12,.95,13
13,1.05,12
13,0.264172,14
14,3.78541,13
