0,"Calcium, Ca"
1,"Iron, Fe"
2,"Magnesium, Mg"
3,"Phosphorus, P"
4,"Potassium, K"
5,"Sodium, Na"
6,"Zinc, Zn"
7,"Copper, Cu"
8,"Manganese, Mn"
9,"Selenium, Se"
10,"Fluoride, F"
